1.953,3620,581
-2.03,-3510,-403
-1.868,-3360,-410
1.826,3480,580
-1.708,-3140,-390
1.711,3310,571
-1.624,-3050,-389
1.627,3230,569
-1.508,-2870,-384
1.509,3050,560
-1.42,-2740,-370
1.467,2990,556
-1.305,-2570,-359
1.308,2750,542
-1.22,-2430,-349
1.224,2620,533
-1.017,-2120,-328
1.08,2380,516
-0.945,-1940,-308
0.947,2130,493
-0.828,-1702,-282
0.834,1949,479
-0.741,-1512,-263
0.742,1715,448
-0.622,-1245,-219
0.624,1453,413
-0.504,-964,-169
0.505,1177,367
-0.46,-855,-146
0.415,958,321
-0.37,-640,-98
0.326,736,273
-0.221,-279,0
0.221,492,203
-0.131,-76,72
0.114,483,355
