0.007,25
0.123,260
0.219,468
0.345,745
0.424,935
0.522,1171
0.632,1429
0.723,1637
0.807,1822
0.908,2020
1.013,2230
1.18,2530
1.241,2630
1.303,2750
1.4,2880
1.527,3050
1.609,3160
1.736,3320
1.83,3440
1.937,3560
2.006,3630
1.9,3570
1.801,3500
1.689,3420
1.595,3340
1.52,3270
1.282,3050
1.203,2960
1.155,2900
1.065,2790
0.983,2690
0.837,2520
0.817,2440
0.779,2380
0.694,2230
0.605,2070
0.516,1900
0.4,1630
0.295,1376
0.152,984
0.074,782
0.025,623
-0.013,511
-0.121,204
-0.197,-13
-0.212,-52
-0.274,-222
-0.335,-390
-0.427,-638
-0.519,-879
-0.642,-1189
-0.718,-1371
-0.81,-1584
-0.9,-1779
-1.022,-2020
-1.114,-2200
-1.221,-2390
-1.312,-2545
-1.404,-2690
-1.525,-2870
-1.637,-3020
-1.73,-3150
-1.806,-3240
-1.941,-3400
-1.985,-3450
-2.029,-3500
-1.906,-3420
-1.805,-3350
-1.718,-3280
-1.55,-3150
-1.481,-3090
-1.406,-3020
-1.317,-2930
-1.202,-2800
-1.109,-2690
-1.021,-2580
-0.875,-2370
-0.782,-2220
-0.663,-2020
-0.574,-1856
-0.5,-1704
-0.396,-1470
-0.217,-1008
-0.114,-710
-0.054,-540
-0.01,-408
0.011,-344
0.116,-11
0.146,70
0.187,176
0.215,253
0.28,424
0.37,670
0.445,873
0.505,1032
0.622,1340
0.699,1528
0.835,1844
0.955,2100
1,2190
1.09,2360
1.12,2420
1.285,2710
1.33,2780
1.372,2850
1.446,2960
1.49,3020
1.535,3080
1.609,3180
1.699,3290
1.743,3350
1.833,3460
1.906,3540
1.995,3640
