analyser,voltage,analyser_corr,voltage_corr
10,223,290,18.9
20,92,280,5.8
22,69,278,3.5
24,55,276,2.1
26,45,274,1.1
28,37,272,0.3
30,34,270,0
32,34,268,0
34,35,266,0.1
36,44,264,1
38,55,262,2.1
40,67,260,3.3
50,192,250,15.8
60,380,240,34.6
70,635,230,60.1
80,911,220,87.7
90,1143,210,110.9
100,1363,200,132.9
110,1501,190,146.7
112,1520,188,148.6
114,1538,186,150.4
116,1549,184,151.5
118,1555,182,152.1
120,1558,180,152.4
120,1560,180,152.6
124,1555,176,152.1
128,1537,172,150.3
132,1508,168,147.4
136,1486,164,145.2
140,1397,160,136.3
142,1364,158,133
144,1324,156,129
146,1278,154,124.4
148,1246,152,121.2
150,1199,150,116.5
152,1157,148,112.3
154,1107,146,107.3
160,944,140,91
170,687,130,65.3
174,581,126,54.7
180,425,120,39.1
190,225,110,19.1
200,86,100,5.2
202,69,98,3.5
204,55,96,2.1
206,48,94,1.4
208,40,92,0.6
210,35,90,0.1
212,37,88,0.3
214,41,86,0.7
216,49,84,1.5
218,60,82,2.6
220,76,80,4.2
222,94,78,6
224,119,76,8.5
226,144,74,11
228,174,72,14
230,201,70,16.7
232,238,68,20.4
234,279,66,24.5
236,316,64,28.2
238,383,62,34.9
240,419,60,38.5
250,645,50,61.1
260,912,40,87.8
270,1169,30,113.5
280,1370,20,133.6
290,1496,10,146.2
292,1515,8,148.1
294,1528,6,149.4
296,1541,4,150.7
298,1547,2,151.3
300,1550,0,151.6
302,1551,358,151.7
304,1547,356,151.3
306,1540,354,150.6
310,1512,350,147.8
320,1385,340,135.1
340,950,320,91.6
360,435,300,40.1
